epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.314,0.7964,2.24034,1.18583,1,0.39871,0.87097,0.70809,0.66344,3.39015,1.2002,0.000653595,0.000653595,0.000653595
2,299.545,0.9365,1.81618,1.24772,0.01498,0.29487,0.01415,0.01019,0.96522,19.852,1.62283,0.00129412,0.00129412,0.00129412
3,442.855,1.01208,1.78324,1.31183,0.176,0.44872,0.14422,0.09323,1.31608,5.85938,1.76403,0.00190825,0.00190825,0.00190825
4,585.189,1.04167,1.48872,1.33678,0.66895,0.51817,0.51754,0.29185,1.50505,4.33296,1.94266,0.0018812,0.0018812,0.0018812
5,1056.89,1.02702,1.36384,1.31926,0.87787,0.64513,0.77807,0.58874,0.98454,2.56644,1.45727,0.0018416,0.0018416,0.0018416
6,1221.6,0.93873,1.07415,1.25295,0.74013,0.76682,0.81069,0.578,0.94513,2.92411,1.42822,0.001802,0.001802,0.001802
7,1385.82,0.87149,0.93976,1.1983,0.76844,0.76923,0.83166,0.64172,0.85522,1.89176,1.29223,0.0017624,0.0017624,0.0017624
8,1560.85,0.91977,1.0373,1.2553,0.92283,0.91026,0.95474,0.69994,0.82667,1.13846,1.27831,0.0017228,0.0017228,0.0017228
9,1725.97,0.92786,0.96145,1.24789,0.89634,0.88692,0.95887,0.74002,0.76685,1.34395,1.24369,0.0016832,0.0016832,0.0016832
10,1890.57,0.89625,0.87095,1.22951,0.91454,0.92308,0.96704,0.75799,0.74643,0.86479,1.24681,0.0016436,0.0016436,0.0016436
11,2054.71,0.82779,0.78337,1.17128,0.94088,1,0.98985,0.77487,0.77042,0.71297,1.28935,0.001604,0.001604,0.001604
12,2217.91,0.82964,0.74402,1.17167,0.97493,0.99716,0.98862,0.84361,0.60892,0.62166,1.10016,0.0015644,0.0015644,0.0015644
13,2382.79,0.78583,0.72182,1.14459,0.94809,0.97436,0.97944,0.77746,0.79666,0.64151,1.23982,0.0015248,0.0015248,0.0015248
14,2546.42,0.79981,0.68603,1.14414,0.93792,0.98718,0.98721,0.79434,0.7036,0.67657,1.15934,0.0014852,0.0014852,0.0014852
15,2709.06,0.77968,0.7013,1.13475,0.91232,0.97436,0.97407,0.82845,0.58714,0.57816,1.07039,0.0014456,0.0014456,0.0014456
16,2872.66,0.78493,0.65405,1.13819,0.98734,0.99981,0.99373,0.83167,0.64238,0.55479,1.13667,0.001406,0.001406,0.001406
17,3035.84,0.79021,0.68578,1.1471,1,0.99931,0.995,0.86611,0.58995,0.50137,1.07864,0.0013664,0.0013664,0.0013664
18,3197.86,0.73232,0.63243,1.11181,0.99438,1,0.995,0.87234,0.52662,0.46288,1.0268,0.0013268,0.0013268,0.0013268
19,3361.94,0.70783,0.60923,1.09025,0.97679,1,0.99475,0.86851,0.54958,0.46198,1.0517,0.0012872,0.0012872,0.0012872
20,3524.96,0.72398,0.61325,1.08741,0.98716,0.98554,0.99295,0.86665,0.57005,0.48515,1.0838,0.0012476,0.0012476,0.0012476
21,3688.36,0.71904,0.58168,1.09374,0.99445,1,0.995,0.89151,0.52512,0.50152,1.01928,0.001208,0.001208,0.001208
22,3851.35,0.68889,0.54989,1.08435,0.9986,1,0.995,0.90486,0.47854,0.37192,0.9896,0.0011684,0.0011684,0.0011684
23,4014.63,0.69119,0.54506,1.08407,0.99879,1,0.995,0.90102,0.4717,0.37996,0.96698,0.0011288,0.0011288,0.0011288
24,4177.58,0.69629,0.55417,1.10091,0.98574,1,0.99487,0.86656,0.52093,0.40898,1.0152,0.0010892,0.0010892,0.0010892
25,4344.19,0.66515,0.50982,1.06963,0.986,1,0.99373,0.87801,0.56191,0.40407,0.99312,0.0010496,0.0010496,0.0010496
26,4504.49,0.66203,0.5004,1.06297,0.98623,1,0.995,0.9161,0.46105,0.35594,0.93461,0.00101,0.00101,0.00101
27,4666.82,0.61682,0.46424,1.03919,0.99914,1,0.995,0.91322,0.4469,0.3376,0.93382,0.0009704,0.0009704,0.0009704
28,4825.76,0.62462,0.46819,1.03618,1,0.99605,0.995,0.91599,0.43413,0.33781,0.92307,0.0009308,0.0009308,0.0009308
29,4989.39,0.6223,0.46517,1.03786,0.9863,1,0.99475,0.91853,0.43546,0.32955,0.94247,0.0008912,0.0008912,0.0008912
30,5157.5,0.62833,0.48893,1.05912,0.98634,1,0.99475,0.93837,0.41203,0.32894,0.92367,0.0008516,0.0008516,0.0008516
31,5328.63,0.62012,0.46285,1.04506,0.99748,1,0.995,0.88783,0.50763,0.37031,0.97041,0.000812,0.000812,0.000812
32,5489.09,0.61455,0.45746,1.04189,1,0.99823,0.995,0.90354,0.4568,0.34749,0.94155,0.0007724,0.0007724,0.0007724
33,5650.44,0.58395,0.43661,1.0152,0.99832,1,0.995,0.93031,0.42879,0.30802,0.91731,0.0007328,0.0007328,0.0007328
34,5800.05,0.60953,0.44223,1.03865,0.99867,1,0.995,0.9053,0.44573,0.32512,0.93193,0.0006932,0.0006932,0.0006932
35,5953.13,0.57828,0.42008,1.01112,0.99544,1,0.995,0.93358,0.40535,0.28178,0.90162,0.0006536,0.0006536,0.0006536
36,6103.57,0.58167,0.4074,1.01307,0.99795,1,0.995,0.92606,0.41086,0.29442,0.89593,0.000614,0.000614,0.000614
37,6253,0.5654,0.40572,1.00561,0.99893,1,0.995,0.9096,0.44394,0.29525,0.90675,0.0005744,0.0005744,0.0005744
38,6404.08,0.58383,0.40607,1.00452,0.99813,1,0.995,0.92345,0.43347,0.28413,0.90156,0.0005348,0.0005348,0.0005348
39,6555.1,0.56972,0.4105,1.00513,0.99725,1,0.995,0.94038,0.40703,0.27397,0.88854,0.0004952,0.0004952,0.0004952
40,6705.17,0.54317,0.38736,1.01471,0.99841,1,0.995,0.92979,0.40439,0.2687,0.89992,0.0004556,0.0004556,0.0004556
41,6858.65,0.47184,0.34583,0.94015,0.99882,1,0.995,0.9352,0.401,0.28129,0.89711,0.000416,0.000416,0.000416
42,7007.99,0.46307,0.30675,0.93554,0.98688,1,0.995,0.93649,0.40157,0.29475,0.88966,0.0003764,0.0003764,0.0003764
43,7158.1,0.4571,0.30513,0.93808,0.98672,1,0.995,0.92886,0.3976,0.28116,0.8884,0.0003368,0.0003368,0.0003368
44,7307.19,0.43971,0.2858,0.89407,0.99584,1,0.995,0.93886,0.40292,0.27443,0.88725,0.0002972,0.0002972,0.0002972
45,7460.55,0.43445,0.28146,0.90973,0.98649,1,0.99487,0.93288,0.40778,0.27151,0.89175,0.0002576,0.0002576,0.0002576
46,7609.23,0.43607,0.27922,0.90212,0.98707,1,0.995,0.94094,0.3934,0.26167,0.87651,0.000218,0.000218,0.000218
47,7760.2,0.43395,0.28098,0.94054,0.9867,1,0.995,0.94545,0.37887,0.25554,0.87349,0.0001784,0.0001784,0.0001784
48,7909.43,0.42759,0.27644,0.91789,0.98649,1,0.995,0.94845,0.36449,0.25049,0.86728,0.0001388,0.0001388,0.0001388
49,8061.78,0.40641,0.26391,0.92439,0.98719,1,0.995,0.93529,0.38143,0.25058,0.87779,9.92e-05,9.92e-05,9.92e-05
50,8214.72,0.41975,0.26112,0.91368,0.98702,1,0.995,0.94923,0.36901,0.24561,0.86924,5.96e-05,5.96e-05,5.96e-05
