epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.1971,0,106.04,0,0,0,0,0,0,181.399,0,0.00048,0.00048,0.00048
2,177.242,0,78.3664,0,0,0,0,0,0,6303.36,0,0.000960596,0.000960596,0.000960596
3,271.206,0,65.3508,0,0,0,0,0,0,85.8841,0,0.00142139,0.00142139,0.00142139
4,370.116,0,56.2366,0,0,0,0,0,0,65.2479,0,0.00186239,0.00186239,0.00186239
5,453.09,0,45.9793,0,0,0,0,0,0,90.2339,0,0.0018416,0.0018416,0.0018416
6,526.798,0,37.2282,0,0,0,0,0,0,51.264,0,0.001802,0.001802,0.001802
7,600.772,0,30.0046,0,0,0,0,0,0,39.8106,0,0.0017624,0.0017624,0.0017624
8,674.797,0,23.7018,0,0,0,0,0,0,29.8666,0,0.0017228,0.0017228,0.0017228
9,748.228,0,18.6913,0,0,0,0,0,0,64.0901,0,0.0016832,0.0016832,0.0016832
10,821.797,0,14.3962,0,0,0,0,0,0,43.3361,0,0.0016436,0.0016436,0.0016436
11,895.444,0,11.1047,0,0,0,0,0,0,17.0319,0,0.001604,0.001604,0.001604
12,970.435,0,8.39068,0,0,0,0,0,0,13.0871,0,0.0015644,0.0015644,0.0015644
