epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.9708,0,106.04,0,0,0,0,0,0,181.399,0,0.00048,0.00048,0.00048
2,155.959,0,78.3664,0,0,0,0,0,0,6303.36,0,0.000960596,0.000960596,0.000960596
3,237.684,0,65.3508,0,0,0,0,0,0,85.8841,0,0.00142139,0.00142139,0.00142139
4,325.467,0,56.2366,0,0,0,0,0,0,65.2479,0,0.00186239,0.00186239,0.00186239
5,407.219,0,45.9793,0,0,0,0,0,0,90.2339,0,0.0018416,0.0018416,0.0018416
6,486.229,0,37.2282,0,0,0,0,0,0,51.264,0,0.001802,0.001802,0.001802
